Sim time (min), Sim time (max), Sim time (ave), Cnv time (min), Cnv time (max), Cnv time (ave), Vis time (min), Vis time (max), Vis time (ave)
0.407658, 0.407726, 0.407692, 0.042981, 0.043034, 0.0430094, 6e-06, 7e-06, 6.375e-06
0.403146, 0.404268, 0.403303, 0.042295, 0.043447, 0.0432862, 6e-06, 1e-05, 7.25e-06
0.402276, 0.40233, 0.402299, 0.042955, 0.042999, 0.0429805, 6e-06, 7e-06, 6.375e-06
0.402837, 0.402883, 0.402862, 0.043406, 0.043434, 0.0434219, 6e-06, 7e-06, 6.25e-06
0.412138, 0.412188, 0.412162, 0.042797, 0.042835, 0.0428189, 7e-06, 8e-06, 7.25e-06
0.397967, 0.398025, 0.397998, 0.042912, 0.042964, 0.0429498, 7e-06, 8e-06, 7.75e-06
0.411554, 0.411612, 0.411582, 0.042676, 0.042741, 0.0427187, 6e-06, 8e-06, 7.125e-06
0.414161, 0.414219, 0.414187, 0.044167, 0.044217, 0.044196, 7e-06, 9e-06, 7.25e-06
0.400626, 0.400707, 0.400659, 0.042815, 0.04288, 0.0428574, 6e-06, 7e-06, 6.875e-06
0.396337, 0.39639, 0.396363, 0.042912, 0.042955, 0.0429358, 6e-06, 7e-06, 6.375e-06
0.40413, 0.405343, 0.404447, 0.041979, 0.043182, 0.042871, 7e-06, 9e-06, 7.5e-06
0.399249, 0.399329, 0.399282, 0.042971, 0.043038, 0.043015, 6e-06, 8e-06, 6.75e-06
0.406902, 0.406961, 0.406936, 0.042666, 0.042722, 0.0426866, 6e-06, 7e-06, 6.125e-06
0.401599, 0.401663, 0.401633, 0.042892, 0.042949, 0.042931, 7e-06, 7e-06, 7e-06
0.394383, 0.394442, 0.394412, 0.042948, 0.042985, 0.0429721, 6e-06, 8e-06, 6.875e-06
0.406038, 0.406103, 0.40607, 0.042953, 0.043004, 0.0429827, 7e-06, 8e-06, 7.375e-06
0.40205, 0.402105, 0.402078, 0.043915, 0.043957, 0.0439374, 6e-06, 8e-06, 6.625e-06
0.397975, 0.398899, 0.398109, 0.042129, 0.043081, 0.0429437, 6e-06, 7e-06, 6.75e-06
0.39987, 0.400833, 0.400008, 0.042489, 0.04348, 0.0433387, 6e-06, 7e-06, 6.25e-06
0.415278, 0.415337, 0.415308, 0.043793, 0.043837, 0.0438162, 6e-06, 9e-06, 7.125e-06
0.40563, 0.406723, 0.405906, 0.042137, 0.043218, 0.0429526, 7e-06, 8e-06, 7.25e-06
0.411576, 0.411641, 0.411607, 0.042842, 0.042896, 0.0428723, 7e-06, 7e-06, 7e-06
0.402313, 0.402366, 0.402338, 0.042732, 0.042774, 0.0427544, 6e-06, 7e-06, 6.5e-06
0.398459, 0.399392, 0.398608, 0.041898, 0.042821, 0.0426805, 6e-06, 7e-06, 6.875e-06
0.41478, 0.414823, 0.414796, 0.043027, 0.043066, 0.0430486, 6e-06, 1e-05, 7.25e-06
0.407026, 0.407083, 0.407056, 0.042896, 0.042947, 0.0429326, 7e-06, 8e-06, 7.25e-06
0.41305, 0.413106, 0.413078, 0.042857, 0.042896, 0.0428806, 6e-06, 7e-06, 6.25e-06
0.408832, 0.408883, 0.408856, 0.043188, 0.043228, 0.043212, 6e-06, 7e-06, 6.125e-06
0.413454, 0.41351, 0.413479, 0.042911, 0.042957, 0.0429361, 6e-06, 7e-06, 6.75e-06
0.400667, 0.400722, 0.400693, 0.042725, 0.042785, 0.042763, 5e-06, 1.4e-05, 7.25e-06
0.397199, 0.39726, 0.397229, 0.04864, 0.048702, 0.0486816, 6e-06, 8e-06, 6.5e-06
0.404885, 0.405857, 0.405042, 0.04305, 0.043998, 0.0438624, 7e-06, 7e-06, 7e-06
0.404079, 0.404129, 0.404103, 0.042757, 0.042795, 0.0427794, 6e-06, 7e-06, 6.875e-06
0.396433, 0.396495, 0.396463, 0.042949, 0.042997, 0.0429768, 7e-06, 7e-06, 7e-06
0.401082, 0.401139, 0.40111, 0.04279, 0.042851, 0.0428291, 6e-06, 8e-06, 7e-06
0.404843, 0.404928, 0.404878, 0.042817, 0.042888, 0.0428619, 7e-06, 9e-06, 7.75e-06
0.396419, 0.396465, 0.396439, 0.042702, 0.042747, 0.0427235, 6e-06, 8e-06, 6.75e-06
0.392264, 0.392315, 0.392288, 0.042607, 0.042647, 0.0426293, 6e-06, 8e-06, 6.75e-06
0.391529, 0.391607, 0.391558, 0.042786, 0.042858, 0.0428323, 6e-06, 7e-06, 6.875e-06
0.404099, 0.405273, 0.404327, 0.041849, 0.042993, 0.0427928, 7e-06, 1.1e-05, 7.5e-06
0.408149, 0.408202, 0.408175, 0.043055, 0.0431, 0.0430776, 6e-06, 7e-06, 6.125e-06
0.397691, 0.397758, 0.397725, 0.042577, 0.042627, 0.0426056, 6e-06, 6e-06, 6e-06
0.398564, 0.399587, 0.398708, 0.041994, 0.043013, 0.0428686, 7e-06, 8e-06, 7.25e-06
0.40533, 0.405404, 0.405367, 0.042795, 0.042852, 0.0428291, 7e-06, 8e-06, 7.125e-06
0.403232, 0.403293, 0.403261, 0.042794, 0.04286, 0.0428357, 6e-06, 8e-06, 7.25e-06
0.406722, 0.406768, 0.406746, 0.043085, 0.04311, 0.0431016, 6e-06, 8e-06, 7.25e-06
0.394041, 0.395152, 0.3942, 0.041633, 0.042734, 0.0425804, 7e-06, 8e-06, 7.125e-06
0.412549, 0.412604, 0.412574, 0.042797, 0.042843, 0.0428231, 6e-06, 8e-06, 6.5e-06
0.400451, 0.400497, 0.400472, 0.042942, 0.042986, 0.0429627, 6e-06, 7e-06, 6.375e-06
0.400617, 0.400673, 0.400643, 0.043161, 0.043205, 0.0431861, 6e-06, 7e-06, 6.5e-06
0.403127, 0.403215, 0.403163, 0.042656, 0.042728, 0.0427023, 6e-06, 7e-06, 6.375e-06
0.405222, 0.405282, 0.405251, 0.04263, 0.042691, 0.0426695, 6e-06, 7e-06, 6.5e-06
0.405303, 0.405358, 0.405333, 0.043031, 0.043063, 0.0430513, 7e-06, 9e-06, 7.375e-06
0.405089, 0.405156, 0.405121, 0.042972, 0.043029, 0.0430031, 6e-06, 8e-06, 7.25e-06
0.413791, 0.413841, 0.413816, 0.043063, 0.043103, 0.0430856, 6e-06, 1.1e-05, 8.125e-06
0.394611, 0.394661, 0.394635, 0.042846, 0.042882, 0.0428675, 7e-06, 8e-06, 7.375e-06
0.39923, 0.399313, 0.399265, 0.042872, 0.042942, 0.0429159, 6e-06, 7e-06, 6.625e-06
0.403952, 0.404013, 0.403983, 0.042956, 0.043015, 0.042995, 7e-06, 7e-06, 7e-06
0.404125, 0.404211, 0.404162, 0.043473, 0.043545, 0.0435169, 6e-06, 7e-06, 6.875e-06
0.414171, 0.415116, 0.41431, 0.04251, 0.043448, 0.0433115, 6e-06, 7e-06, 6.625e-06
0.437945, 0.437998, 0.437972, 0.043026, 0.043063, 0.0430474, 6e-06, 8e-06, 7.125e-06
0.39783, 0.397885, 0.397856, 0.043186, 0.043229, 0.043211, 6e-06, 8e-06, 6.625e-06
0.406054, 0.407207, 0.406353, 0.04285, 0.043991, 0.0437002, 7e-06, 8e-06, 7.25e-06
0.404294, 0.404376, 0.404332, 0.042896, 0.042959, 0.042936, 6e-06, 7e-06, 6.75e-06
0.409039, 0.410082, 0.409192, 0.042278, 0.043353, 0.043197, 6e-06, 1.1e-05, 7.75e-06
0.400818, 0.400884, 0.400848, 0.042673, 0.042727, 0.0427035, 7e-06, 9e-06, 8.125e-06
0.405437, 0.405535, 0.405482, 0.042716, 0.042786, 0.0427612, 6e-06, 8e-06, 6.5e-06
0.400265, 0.400316, 0.400285, 0.042997, 0.043046, 0.0430235, 6e-06, 7e-06, 6.75e-06
0.407667, 0.407735, 0.4077, 0.042919, 0.042972, 0.0429486, 7e-06, 8e-06, 7.125e-06
0.416102, 0.416176, 0.416139, 0.042867, 0.042923, 0.0428986, 6e-06, 8e-06, 7e-06
0.391025, 0.392108, 0.391308, 0.042316, 0.043385, 0.0431115, 6e-06, 8e-06, 7.125e-06
0.407181, 0.40724, 0.407207, 0.042967, 0.043014, 0.0429946, 6e-06, 7e-06, 6.875e-06
0.40307, 0.403129, 0.403099, 0.043152, 0.043205, 0.0431901, 6e-06, 7e-06, 6.875e-06
0.388472, 0.388538, 0.388503, 0.042903, 0.042957, 0.042933, 6e-06, 7e-06, 6.375e-06
0.40454, 0.405692, 0.404851, 0.042105, 0.043235, 0.0429434, 7e-06, 8e-06, 7.125e-06
0.408396, 0.408454, 0.408425, 0.043048, 0.04309, 0.0430726, 7e-06, 8e-06, 7.375e-06
0.397505, 0.397558, 0.39753, 0.043148, 0.043191, 0.0431711, 7e-06, 7e-06, 7e-06
0.391747, 0.391801, 0.391773, 0.044418, 0.044456, 0.0444414, 6e-06, 7e-06, 6.125e-06
0.409976, 0.41003, 0.410001, 0.043477, 0.043517, 0.0435003, 6e-06, 1e-05, 6.75e-06
0.395285, 0.395355, 0.39532, 0.043006, 0.043059, 0.0430361, 6e-06, 1e-05, 7.25e-06
0.394751, 0.394818, 0.394785, 0.042961, 0.043014, 0.0429893, 6e-06, 8e-06, 6.625e-06
0.40828, 0.408334, 0.408306, 0.042913, 0.042955, 0.0429358, 6e-06, 7e-06, 6.875e-06
0.395721, 0.395769, 0.395744, 0.043037, 0.043077, 0.0430566, 7e-06, 7e-06, 7e-06
0.399161, 0.399214, 0.399186, 0.04289, 0.04293, 0.0429126, 6e-06, 7e-06, 6.625e-06
0.407534, 0.408668, 0.407693, 0.042954, 0.044084, 0.0439253, 6e-06, 8e-06, 7.375e-06
0.406963, 0.407046, 0.406998, 0.043018, 0.04309, 0.0430634, 7e-06, 8e-06, 7.875e-06
0.401808, 0.401863, 0.401834, 0.042899, 0.042941, 0.0429239, 6e-06, 8e-06, 6.75e-06
0.388542, 0.389554, 0.388683, 0.042476, 0.043479, 0.0433409, 7e-06, 8e-06, 7.125e-06
0.399272, 0.399325, 0.399296, 0.043069, 0.043112, 0.0430945, 6e-06, 8e-06, 7.25e-06
0.397688, 0.397744, 0.397714, 0.043031, 0.04309, 0.0430705, 7e-06, 1.1e-05, 7.625e-06
0.402223, 0.402269, 0.402242, 0.043024, 0.043068, 0.0430489, 6e-06, 8e-06, 7e-06
0.411005, 0.411058, 0.411033, 0.04301, 0.043059, 0.0430311, 5e-06, 8e-06, 7e-06
0.387825, 0.387886, 0.387853, 0.042941, 0.042996, 0.0429708, 6e-06, 7e-06, 6.75e-06
0.39708, 0.39714, 0.39711, 0.043048, 0.043097, 0.043076, 6e-06, 7e-06, 6.375e-06
0.401132, 0.402116, 0.401285, 0.042711, 0.043665, 0.0435332, 7e-06, 8e-06, 7.375e-06
0.405806, 0.405886, 0.405838, 0.043271, 0.043342, 0.0433153, 7e-06, 1.2e-05, 8e-06
0.401004, 0.401058, 0.40103, 0.043433, 0.043474, 0.0434551, 6e-06, 8e-06, 7.375e-06
0.392324, 0.392408, 0.392359, 0.043142, 0.043209, 0.0431855, 6e-06, 8e-06, 6.75e-06
0.399051, 0.400223, 0.399233, 0.042301, 0.043442, 0.0432809, 6e-06, 7e-06, 6.875e-06
0.398329, 0.398384, 0.398356, 0.043048, 0.043107, 0.0430867, 7e-06, 7e-06, 7e-06
0.401034, 0.402077, 0.401191, 0.042105, 0.043129, 0.0429857, 6e-06, 8e-06, 7e-06
0.39665, 0.396715, 0.396681, 0.042795, 0.042848, 0.0428239, 6e-06, 7e-06, 6.25e-06
0.405467, 0.405547, 0.405509, 0.042891, 0.042945, 0.0429233, 7e-06, 8e-06, 7.125e-06
0.40082, 0.400903, 0.400852, 0.042945, 0.043018, 0.042993, 6e-06, 8e-06, 6.75e-06
0.398161, 0.398211, 0.398181, 0.043676, 0.043724, 0.0437016, 6e-06, 1e-05, 7.625e-06
0.39382, 0.393904, 0.393855, 0.04295, 0.043018, 0.0429936, 7e-06, 9e-06, 7.875e-06
0.398245, 0.399277, 0.3984, 0.042959, 0.043969, 0.0438289, 6e-06, 6e-06, 6e-06
0.399274, 0.399335, 0.399303, 0.043027, 0.043089, 0.0430697, 7e-06, 7e-06, 7e-06
0.399824, 0.400879, 0.400103, 0.041982, 0.043045, 0.0427641, 6e-06, 7e-06, 6.875e-06
