Time step, Pipe time (min), Pipe time (max), Pipe time (ave), Rend time (min), Rend time (max), Rend time (ave), Save time (min), Save time (max), Save time (ave), Comp time (min), Comp time (max), Comp time (ave)
50, 0.001633, 0.003456, 0.00233575, 0.029409, 0.476041, 0.136193, 0, 0.01484, 0.001855, 0.002027, 0.449087, 0.340931
60, 0.00164, 0.003472, 0.00243912, 0.029154, 0.394741, 0.119845, 0, 0.014734, 0.00184188, 0.001837, 0.368855, 0.274884
70, 0.001633, 0.003466, 0.00228188, 0.02919, 0.353529, 0.112039, 0, 0.014799, 0.00184987, 0.002021, 0.328196, 0.242147
80, 0.001649, 0.003341, 0.00229725, 0.029591, 0.398899, 0.118474, 0, 0.01501, 0.00187638, 0.001845, 0.37219, 0.28122
90, 0.001824, 0.003329, 0.00244262, 0.028831, 0.469488, 0.13166, 0, 0.014758, 0.001845, 0.002031, 0.444012, 0.338249
100, 0.001669, 0.003355, 0.002152, 0.029395, 0.393188, 0.118392, 0, 0.014747, 0.0018435, 0.001831, 0.366991, 0.275086
110, 0.001673, 0.003343, 0.00215925, 0.029835, 0.40093, 0.122847, 0, 0.014681, 0.00183538, 0.001848, 0.374008, 0.278376
120, 0.001691, 0.003104, 0.00217662, 0.029605, 0.349444, 0.112776, 0, 0.014853, 0.00185675, 0.002043, 0.321074, 0.236777
130, 0.001838, 0.003114, 0.00239562, 0.029661, 0.41838, 0.128165, 0, 0.014997, 0.00187462, 0.001842, 0.390068, 0.290186
140, 0.001876, 0.003334, 0.00252212, 0.029437, 0.420906, 0.123605, 0, 0.014661, 0.00183263, 0.002026, 0.393369, 0.297837
150, 0.001705, 0.003336, 0.00240912, 0.03016, 0.415261, 0.126599, 0, 0.014838, 0.001855, 0.001844, 0.388457, 0.288641
160, 0.00164, 0.003322, 0.00202713, 0.029719, 0.361213, 0.114837, 0, 0.01473, 0.00184125, 0.002037, 0.33421, 0.247778
170, 0.00164, 0.003308, 0.002251, 0.029598, 0.356263, 0.115918, 0, 0.014734, 0.00184175, 0.002027, 0.329791, 0.240957
180, 0.001659, 0.003604, 0.00216913, 0.029503, 0.421753, 0.121598, 0, 0.014799, 0.00185013, 0.002051, 0.395119, 0.301717
190, 0.001694, 0.003283, 0.00222213, 0.032326, 0.471352, 0.144677, 0, 0.014772, 0.00184675, 0.002017, 0.442398, 0.327272
10, 0.001672, 0.00313, 0.00243213, 0.02951, 0.409951, 0.123835, 0, 0.014778, 0.00184738, 0.002016, 0.383749, 0.2868
20, 0.001699, 0.003328, 0.00233062, 0.02952, 0.508415, 0.137113, 0, 0.014804, 0.0018505, 0.00203, 0.480858, 0.372551
30, 0.001687, 0.003003, 0.00224525, 0.029807, 0.411293, 0.125263, 0, 0.014842, 0.00185575, 0.001849, 0.384152, 0.285948
40, 0.001819, 0.003213, 0.00237062, 0.028825, 0.356085, 0.119391, 0, 0.014965, 0.00187088, 0.002016, 0.329587, 0.236363
50, 0.001662, 0.003315, 0.00214837, 0.029611, 0.474373, 0.129042, 0, 0.014777, 0.00184725, 0.002036, 0.448266, 0.346138
60, 0.001648, 0.00278, 0.0021645, 0.028852, 0.356327, 0.114695, 0, 0.014894, 0.001862, 0.002036, 0.329916, 0.241755
70, 0.00165, 0.003208, 0.0023235, 0.029559, 0.423306, 0.123831, 0, 0.01488, 0.00186012, 0.002019, 0.397133, 0.300421
80, 0.001673, 0.003324, 0.00195088, 0.029683, 0.362045, 0.116165, 0, 0.015111, 0.00188925, 0.002051, 0.332273, 0.246877
90, 0.001678, 0.003317, 0.00235813, 0.029531, 0.431343, 0.128504, 0, 0.014763, 0.00184538, 0.002028, 0.403401, 0.304042
100, 0.001663, 0.003354, 0.002281, 0.02934, 0.430053, 0.134623, 0, 0.01469, 0.0018365, 0.002037, 0.402507, 0.296547
110, 0.00164, 0.00334, 0.00224037, 0.029678, 0.356409, 0.114089, 0, 0.014743, 0.00184325, 0.002042, 0.330226, 0.243499
120, 0.001645, 0.003337, 0.00210913, 0.029759, 0.352531, 0.116224, 0, 0.014929, 0.0018665, 0.002045, 0.32629, 0.237114
130, 0.001634, 0.003332, 0.002395, 0.029611, 0.433679, 0.128115, 0, 0.014909, 0.00186363, 0.002033, 0.407618, 0.306223
140, 0.001646, 0.003322, 0.002213, 0.028655, 0.439486, 0.124678, 0, 0.014717, 0.00183975, 0.002122, 0.414659, 0.315531
150, 0.001647, 0.002892, 0.00215612, 0.029517, 0.347271, 0.113333, 0, 0.014683, 0.0018355, 0.001827, 0.320595, 0.234258
160, 0.001649, 0.002984, 0.00209425, 0.029619, 0.427069, 0.125464, 0, 0.014895, 0.001862, 0.001837, 0.400617, 0.302075
170, 0.00169, 0.003363, 0.00226575, 0.029841, 0.353666, 0.12057, 0, 0.01472, 0.0018405, 0.002016, 0.322909, 0.233928
180, 0.001711, 0.003313, 0.00241787, 0.029811, 0.396147, 0.121444, 0, 0.01504, 0.00188025, 0.001822, 0.368691, 0.274472
190, 0.001764, 0.003318, 0.00242988, 0.029677, 0.418185, 0.123371, 0, 0.014838, 0.001855, 0.002051, 0.391657, 0.29595
10, 0.00175, 0.003321, 0.00218737, 0.02974, 0.355674, 0.112877, 0, 0.014817, 0.00185238, 0.002034, 0.329229, 0.243513
20, 0.001708, 0.002102, 0.001862, 0.029757, 0.360895, 0.111499, 0, 0.014885, 0.00186075, 0.002034, 0.333214, 0.249262
30, 0.001693, 0.00332, 0.00222612, 0.029723, 0.355624, 0.123381, 0, 0.014818, 0.00185237, 0.002008, 0.319209, 0.232867
40, 0.001679, 0.003322, 0.00221462, 0.02942, 0.489855, 0.131916, 0, 0.014958, 0.00186975, 0.002045, 0.464009, 0.358547
50, 0.001737, 0.003528, 0.00250725, 0.032594, 0.429361, 0.129868, 0, 0.014904, 0.00186338, 0.001852, 0.398499, 0.299762
60, 0.001724, 0.003323, 0.00208062, 0.029651, 0.354144, 0.116984, 0, 0.014801, 0.00185025, 0.00203, 0.327756, 0.238623
70, 0.001696, 0.003342, 0.00237, 0.029649, 0.51176, 0.138816, 0, 0.014747, 0.0018435, 0.002085, 0.482048, 0.37346
80, 0.001667, 0.003636, 0.00229075, 0.029445, 0.421234, 0.126504, 0, 0.014705, 0.00183838, 0.001832, 0.392375, 0.295399
90, 0.001818, 0.003327, 0.00260637, 0.029693, 0.398461, 0.123179, 0, 0.014775, 0.001847, 0.001862, 0.370818, 0.274908
100, 0.001786, 0.00352, 0.00281888, 0.029239, 0.396337, 0.123912, 0, 0.014807, 0.00185138, 0.001857, 0.370016, 0.272369
110, 0.001821, 0.003343, 0.00245575, 0.028645, 0.349031, 0.111491, 0, 0.014734, 0.00184188, 0.001984, 0.323534, 0.23855
120, 0.001805, 0.003268, 0.00235587, 0.029599, 0.406349, 0.123587, 0, 0.014716, 0.00183988, 0.001837, 0.375604, 0.28282
130, 0.00181, 0.003471, 0.002359, 0.029303, 0.356526, 0.114986, 0, 0.014701, 0.00183763, 0.002031, 0.330289, 0.241492
140, 0.001698, 0.003479, 0.00251262, 0.028925, 0.393804, 0.119506, 0, 0.014736, 0.00184238, 0.001818, 0.368191, 0.274781
150, 0.001705, 0.003327, 0.00239113, 0.029314, 0.447426, 0.132892, 0, 0.014785, 0.00184838, 0.002059, 0.421012, 0.315579
160, 0.001817, 0.003465, 0.002624, 0.028878, 0.414961, 0.122927, 0, 0.0148, 0.00185013, 0.002166, 0.390007, 0.29245
170, 0.001639, 0.003457, 0.00220225, 0.029486, 0.423154, 0.127082, 0, 0.014701, 0.00183788, 0.002044, 0.396058, 0.297417
180, 0.001676, 0.003464, 0.00238437, 0.028803, 0.41383, 0.121446, 0, 0.014801, 0.00185025, 0.001842, 0.388082, 0.292383
190, 0.001639, 0.003325, 0.00231612, 0.029484, 0.401131, 0.118625, 0, 0.014826, 0.00185363, 0.001855, 0.374371, 0.283219
10, 0.001662, 0.003324, 0.00231613, 0.029676, 0.411807, 0.122958, 0, 0.014853, 0.00185675, 0.001831, 0.385459, 0.2892
20, 0.002212, 0.003318, 0.00270437, 0.02949, 0.399901, 0.125648, 0, 0.014796, 0.00184988, 0.001837, 0.370298, 0.274285
30, 0.001682, 0.003491, 0.00236913, 0.029602, 0.354306, 0.114625, 0, 0.014677, 0.00183488, 0.002006, 0.326488, 0.23873
40, 0.001825, 0.003338, 0.00227238, 0.029835, 0.350321, 0.116288, 0, 0.014938, 0.0018675, 0.001977, 0.323006, 0.235407
50, 0.001651, 0.003384, 0.00262625, 0.029708, 0.410399, 0.125901, 0, 0.014714, 0.0018395, 0.002013, 0.384226, 0.284659
60, 0.001673, 0.003461, 0.00216175, 0.02898, 0.413949, 0.124247, 0, 0.01466, 0.0018325, 0.002026, 0.387409, 0.289193
70, 0.001625, 0.003136, 0.00208087, 0.029808, 0.412686, 0.123762, 0, 0.014835, 0.0018545, 0.001827, 0.38629, 0.290047
80, 0.001649, 0.003352, 0.00216862, 0.029568, 0.419014, 0.122662, 0, 0.01489, 0.0018615, 0.001843, 0.392528, 0.296694
90, 0.00171, 0.003339, 0.002347, 0.029245, 0.437654, 0.135516, 0, 0.014872, 0.00185925, 0.002027, 0.410383, 0.302716
100, 0.00165, 0.003333, 0.00234788, 0.029189, 0.425465, 0.123451, 0, 0.01479, 0.00184888, 0.002027, 0.399967, 0.302547
110, 0.001646, 0.003945, 0.00223062, 0.029806, 0.349979, 0.113454, 0, 0.014698, 0.00183737, 0.001839, 0.324303, 0.238318
120, 0.0017, 0.003328, 0.00228887, 0.029773, 0.350029, 0.117334, 0, 0.014817, 0.0018525, 0.002026, 0.322788, 0.233973
130, 0.001684, 0.003908, 0.00247562, 0.029469, 0.424588, 0.126489, 0, 0.014819, 0.00185288, 0.001831, 0.397116, 0.298858
140, 0.001706, 0.004023, 0.00245725, 0.029248, 0.420088, 0.134142, 0, 0.014702, 0.001838, 0.001836, 0.391956, 0.287267
150, 0.001667, 0.003608, 0.00231425, 0.029627, 0.4595, 0.137803, 0, 0.01465, 0.0018315, 0.002008, 0.433088, 0.322587
160, 0.001645, 0.003629, 0.002289, 0.02951, 0.408812, 0.121486, 0, 0.014741, 0.00184288, 0.002034, 0.382928, 0.288268
170, 0.001645, 0.004025, 0.00243137, 0.028771, 0.413003, 0.125518, 0, 0.014819, 0.00185263, 0.001853, 0.388378, 0.288928
180, 0.001668, 0.003323, 0.002282, 0.029459, 0.428608, 0.126036, 0, 0.014827, 0.0018535, 0.001875, 0.399407, 0.302
190, 0.001643, 0.003726, 0.0024245, 0.029569, 0.405509, 0.123384, 0, 0.014794, 0.0018495, 0.001852, 0.379401, 0.283318
10, 0.001654, 0.003874, 0.00231725, 0.029663, 0.418336, 0.124702, 0, 0.014789, 0.00184875, 0.001823, 0.392251, 0.295054
20, 0.001638, 0.00375, 0.0024105, 0.029584, 0.393758, 0.120126, 0, 0.01477, 0.00184625, 0.001833, 0.367671, 0.274971
30, 0.001701, 0.003745, 0.00257275, 0.028842, 0.472449, 0.136988, 0, 0.014757, 0.00184475, 0.002042, 0.447377, 0.336461
40, 0.001699, 0.003399, 0.00221512, 0.029567, 0.348075, 0.114678, 0, 0.014967, 0.001871, 0.002024, 0.320732, 0.233711
50, 0.001669, 0.003803, 0.00243625, 0.029152, 0.479375, 0.138867, 0, 0.014775, 0.00184713, 0.002532, 0.454808, 0.341791
60, 0.001654, 0.00416, 0.00268275, 0.029597, 0.408371, 0.12658, 0, 0.014935, 0.00186687, 0.001826, 0.378731, 0.282844
70, 0.0017, 0.004161, 0.0023655, 0.02952, 0.473059, 0.129287, 0, 0.014839, 0.00185513, 0.002029, 0.447572, 0.345833
80, 0.001666, 0.004349, 0.00243575, 0.029358, 0.423844, 0.132225, 0, 0.014829, 0.00185375, 0.00202, 0.398508, 0.292926
90, 0.001687, 0.002776, 0.0022555, 0.02887, 0.360548, 0.119119, 0, 0.014951, 0.00186913, 0.002033, 0.334963, 0.241875
100, 0.001646, 0.004167, 0.00237013, 0.029022, 0.421364, 0.12237, 0, 0.014802, 0.00185025, 0.002038, 0.39671, 0.300131
110, 0.001708, 0.004145, 0.00244313, 0.029465, 0.432384, 0.131641, 0, 0.014725, 0.00184088, 0.002039, 0.403321, 0.302043
120, 0.001703, 0.004167, 0.0025715, 0.029407, 0.423879, 0.124939, 0, 0.014692, 0.0018365, 0.002011, 0.399093, 0.300712
130, 0.001675, 0.003974, 0.002346, 0.02953, 0.405992, 0.121207, 0, 0.014702, 0.00183787, 0.002046, 0.37958, 0.286049
140, 0.001657, 0.0042, 0.00246163, 0.028539, 0.349981, 0.11145, 0, 0.014823, 0.00185287, 0.002037, 0.325148, 0.240323
150, 0.001801, 0.004051, 0.00258237, 0.029853, 0.40081, 0.127879, 0, 0.014895, 0.001862, 0.001842, 0.372893, 0.27248
160, 0.001656, 0.002973, 0.0023565, 0.029599, 0.393852, 0.11872, 0, 0.014746, 0.00184338, 0.001829, 0.36722, 0.275103
170, 0.001666, 0.003357, 0.00245125, 0.029529, 0.416961, 0.127041, 0, 0.014795, 0.00184975, 0.00184, 0.390132, 0.290723
180, 0.001822, 0.003168, 0.00237287, 0.029485, 0.424289, 0.129979, 0, 0.014835, 0.00185475, 0.001837, 0.395991, 0.295079
190, 0.001648, 0.004173, 0.00218137, 0.029957, 0.393076, 0.117549, 0, 0.014723, 0.0018405, 0.00183, 0.366324, 0.275693
10, 0.001885, 0.00277, 0.0023195, 0.029802, 0.353137, 0.116449, 0, 0.014699, 0.0018375, 0.002037, 0.325217, 0.236634
20, 0.001637, 0.003557, 0.00212775, 0.029617, 0.417177, 0.125964, 0, 0.0148, 0.00185025, 0.001844, 0.390333, 0.292115
30, 0.001734, 0.004194, 0.00269162, 0.029798, 0.399484, 0.124072, 0, 0.014806, 0.001851, 0.001853, 0.371666, 0.274937
40, 0.001679, 0.003157, 0.0024285, 0.029604, 0.415764, 0.124476, 0, 0.014717, 0.00183962, 0.002029, 0.387226, 0.291691
50, 0.001644, 0.004141, 0.00241213, 0.02998, 0.355895, 0.117591, 0, 0.01483, 0.00185413, 0.002027, 0.330502, 0.239455
60, 0.001661, 0.00302, 0.0021685, 0.028871, 0.40312, 0.120222, 0, 0.014819, 0.0018525, 0.001841, 0.37731, 0.283597
70, 0.001651, 0.003139, 0.00213362, 0.029378, 0.433815, 0.127047, 0, 0.014774, 0.00184725, 0.00184, 0.407363, 0.307188
80, 0.001667, 0.003114, 0.00205663, 0.029595, 0.355494, 0.116835, 0, 0.014732, 0.00184163, 0.002013, 0.326914, 0.238855
90, 0.001638, 0.003126, 0.00235238, 0.028796, 0.423083, 0.12293, 0, 0.014746, 0.00184338, 0.001829, 0.397448, 0.300805
100, 0.001606, 0.002929, 0.00232775, 0.029412, 0.416422, 0.123967, 0, 0.014704, 0.00183813, 0.002088, 0.389224, 0.292279
110, 0.001667, 0.003119, 0.00205737, 0.029491, 0.348026, 0.112187, 0, 0.030037, 0.00375488, 0.002004, 0.319716, 0.235627
120, 0.001703, 0.002714, 0.00210225, 0.028683, 0.354135, 0.116573, 0, 0.014857, 0.00185738, 0.002004, 0.32808, 0.236566
130, 0.001655, 0.003332, 0.00226863, 0.028854, 0.426221, 0.123875, 0, 0.014648, 0.00183125, 0.001837, 0.400984, 0.302672
140, 0.001686, 0.003355, 0.00246463, 0.029545, 0.345971, 0.112549, 0, 0.014713, 0.00183938, 0.002038, 0.320036, 0.233998
150, 0.001653, 0.003328, 0.002152, 0.028883, 0.359578, 0.11255, 0, 0.014757, 0.00184475, 0.001833, 0.332972, 0.246832
160, 0.00168, 0.003307, 0.00238587, 0.028911, 0.401063, 0.124627, 0, 0.014738, 0.00184225, 0.001819, 0.375448, 0.276958
170, 0.001638, 0.002963, 0.00223362, 0.029662, 0.396295, 0.122773, 0, 0.014643, 0.00183038, 0.001818, 0.368553, 0.273618
180, 0.001663, 0.003336, 0.002301, 0.028895, 0.39812, 0.116002, 0, 0.014609, 0.00182612, 0.001932, 0.373001, 0.282469
190, 0.001666, 0.003102, 0.00238925, 0.02942, 0.430821, 0.123264, 0, 0.014749, 0.00184388, 0.001831, 0.403859, 0.30813
10, 0.001653, 0.003508, 0.002466, 0.029056, 0.353961, 0.113899, 0, 0.014723, 0.0018405, 0.002022, 0.328166, 0.240761
20, 0.001646, 0.003332, 0.00228488, 0.028736, 0.417482, 0.12009, 0, 0.015076, 0.00188475, 0.001843, 0.391425, 0.297246
30, 0.001675, 0.003352, 0.00224062, 0.029654, 0.417432, 0.120454, 0, 0.014949, 0.00186888, 0.002022, 0.391049, 0.297446
40, 0.001666, 0.003326, 0.00208788, 0.029555, 0.490851, 0.129904, 0, 0.01487, 0.00185875, 0.002031, 0.464603, 0.362446
50, 0.001688, 0.003181, 0.00232375, 0.030078, 0.350805, 0.117224, 0, 0.014774, 0.001847, 0.002022, 0.321836, 0.23273
60, 0.001639, 0.003474, 0.00234737, 0.02906, 0.477847, 0.129856, 0, 0.014791, 0.00184887, 0.002021, 0.452238, 0.34833
70, 0.001668, 0.003347, 0.0024745, 0.029023, 0.468709, 0.128467, 0, 0.01481, 0.00185163, 0.002048, 0.443685, 0.340725
80, 0.001678, 0.003328, 0.00245162, 0.029028, 0.412455, 0.128387, 0, 0.014767, 0.001846, 0.002236, 0.387409, 0.284639
90, 0.001701, 0.003336, 0.00252912, 0.029482, 0.3918, 0.119926, 0, 0.014726, 0.00184113, 0.001826, 0.365299, 0.27162
100, 0.00168, 0.003469, 0.00218212, 0.029, 0.354337, 0.111853, 0, 0.014809, 0.00185138, 0.003141, 0.328775, 0.243757
